ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"89.237.34.17","elite","AS20485","RU","multi-origin SUTTK","77","N/A","51549","socks4","4701","1","2023-05-11T04:29:25.968Z","100","1622","1628"
"103.124.137.251","elite","AS138089","ID","Global Media Data Prima","291","N/A","1080","socks4","5099","1","2023-05-11T04:29:25.966Z","97","1529","1572"
"49.0.32.177","elite","AS38744","BD","Always On Network Bangladesh Ltd.","184","Always On Network Bangladesh Ltd","10801","socks4","4903","1","2023-05-11T04:29:25.967Z","98","1559","1598"
"45.7.177.217","elite","AS266626","BR","Litoral Telecom","173","Litoral Telecom","39867","socks4","4987","1","2023-05-11T04:29:24.664Z","99","1604","1618"
"103.84.134.9","elite","AS136238","MV","SatLink Pvt Ltd","188","SatLink Pvt Ltd","1080","socks4","4803","1","2023-05-11T04:29:24.860Z","100","1600","1608"
"162.12.217.70","elite","N/A","FR","Weelax","183","Weelax","3629","socks4","4894","1","2023-05-11T04:29:24.664Z","98","1555","1591"
"43.128.62.125","elite","AS132203","HK","Aceville Pte.ltd","239","N/A","23642","socks5","5095","1","2023-05-11T04:29:24.661Z","90","1440","1606"
"86.123.217.199","elite","AS8708","RO","RCS & RDS","97","RCS & RDS Residential","8080","socks4","4885","1","2023-05-11T04:29:24.664Z","87","1367","1572"
"83.171.112.77","elite","AS12389","RU","Rostelecom networks","37","OJSC North-West Telecom","3629","socks4","4996","1","2023-05-11T04:29:24.663Z","99","1618","1629"
"165.225.110.77","elite","AS53813","JP","ZSCALER, INC.","287","Zscaler, Inc.","10605","socks4","5007","1","2023-05-11T04:29:24.662Z","94","1417","1507"
"125.26.4.197","elite","AS23969","TH","TOT Public Company Limited","199","TOT Public Company Limited","4145","socks4","5089","1","2023-05-11T04:29:24.663Z","97","1574","1628"
"8.17.28.139","elite","AS23089","US","Level 3","190","HOTWIRE-ORG","39593","socks4","4601","1","2023-05-11T04:29:23.362Z","98","1533","1568"
"51.79.50.22","elite","AS16276","CA","OVH SAS","90","OVH Hosting, Inc.","9300","http","4705","2899","2023-05-11T04:29:23.363Z","99","1498","1514"
